TimeStamp,3month_Tbill,5year_Tnote,10year_Tbond,EuropeETF_VGK,EuropeETF_BBEU,EuropeETF_EZU,3monthGovernmentBond_Mexican,3monthGovernmentBond_Brazil,DJCI_Gas,DJCI_Gold,DJCI_Oil,LowCarbonStock_TESLA,LowCarbonStock_NVIDIA,LowCarbonStock_HOMEDEPOT,conversion_rate,China_growthGDP
2022/1/5 20:00,0.07%,1.24%,1.48%,66.35,58.1,47.86,5.85%,9.68%,205.22,617.65,599.16,938.53,290.75,390.47,6.3594,2.33%
2022/1/5 19:35,0.07%,1.17%,1.43%,65.51,57.91,47.14,5.82%,9.62%,204.35,619.68,578.01,899.94,277.19,389.4,6.3515,2.32%
2022/1/5 19:10,0.05%,1.18%,1.41%,66.12,57.89,47.13,5.82%,9.62%,197.88,623.24,595.79,932.57,278.01,387.98,6.3574,2.33%
2022/1/5 19:00,0.05%,1.19%,1.44%,67.1,58.73,47.84,5.65%,9.62%,202.01,620.93,607.83,926.92,283.87,399.53,6.3337,2.32%
2022/1/5 18:50,0.05%,1.26%,1.47%,67.02,58.63,48,5.65%,9.62%,204.51,609.29,595.28,975.99,304.59,407.81,6.3465,2.34%
2022/1/5 18:35,0.06%,1.17%,1.41%,68.52,56.95,49.78,5.76%,5.73%,211.44,628.29,598.03,898.78,298.5,405.65,6.334,2.34%
2022/1/5 18:30,0.07%,1.31%,1.44%,69.59,58.21,47.8,5.86%,5.73%,212.03,607.12,602.06,942.68,279.89,410.47,6.358,2.32%
2022/1/5 18:25,0.05%,1.35%,1.50%,67.92,58.69,45.14,5.83%,5.77%,218.76,619.1,575.27,913.53,275.75,399.12,6.3358,2.34%
2022/1/5 18:20,0.06%,1.24%,1.51%,66.69,58.85,49.56,5.94%,5.76%,200.72,626.87,608.39,967.09,300.13,394.61,6.3531,2.34%
2022/1/5 18:15,0.04%,1.16%,1.48%,67.36,58.5,45.09,5.89%,5.84%,199.11,621.39,572.69,917.24,308.62,403.36,6.3446,2.32%
2022/1/5 18:10,0.06%,1.21%,1.43%,69.1,58.03,47.2,5.85%,5.88%,218.13,607.47,585.46,911.19,275.51,396.44,6.3519,2.33%
2022/1/5 18:00,0.05%,1.22%,1.43%,67.56,57.88,47.97,5.82%,5.95%,209.03,620.53,604.58,928.5,294.63,412.16,6.3443,2.32%
2022/1/5 17:55,0.06%,1.18%,1.49%,69.32,57.07,45.08,5.86%,5.93%,201.12,612.55,609.67,947.93,276.73,414.67,6.3383,2.32%
2022/1/5 17:50,0.06%,1.26%,1.55%,67.4,55.62,50.35,5.91%,5.74%,211.55,626.97,609.46,978.8,300.98,412.27,6.3373,2.32%
2022/1/5 17:45,0.08%,1.34%,1.45%,67.85,58.68,50.83,5.95%,5.83%,209.3,618.97,584.23,916.69,292.27,409.85,6.3533,2.34%
2022/1/5 17:40,0.06%,1.20%,1.51%,68.05,56.49,49.73,5.81%,5.95%,210.09,620.11,609.89,921.08,276.04,390.89,6.3336,2.33%
2022/1/5 17:35,0.07%,1.24%,1.50%,69.16,57.54,46.08,5.86%,5.77%,212.47,625.38,589.65,976.3,309.14,390.09,6.347,2.32%
2022/1/5 17:30,0.06%,1.35%,1.37%,66.76,59.21,47.17,5.76%,5.84%,211.93,618.95,601.94,937.48,299.31,397.4,6.3391,2.33%
2022/1/5 17:25,0.05%,1.27%,1.41%,69.71,55.03,50.47,5.82%,5.77%,205.94,612.89,592.18,939.68,278.24,407.9,6.3409,2.33%
2022/1/5 17:20,0.05%,1.26%,1.54%,67.56,55.96,49.56,5.95%,5.83%,208.55,622.54,597.88,916.83,281.37,409.98,6.3566,2.32%
2022/1/5 17:00,0.06%,1.34%,1.45%,67.92,56.25,49.69,5.84%,5.76%,203.66,613.2,589.82,964.86,293.31,408.87,6.3574,2.33%
2022/1/5 16:45,0.07%,1.28%,1.41%,67.84,57.31,45.54,5.80%,5.87%,204.73,613.74,578.09,927.89,275.39,401.29,6.3357,2.32%
2022/1/5 16:40,0.06%,1.19%,1.52%,68.76,55.4,46.12,5.78%,5.83%,218.66,614.63,586.6,907.25,309.19,396.08,6.3489,2.32%
2022/1/5 16:35,0.08%,1.30%,1.54%,69.88,59.71,50.14,5.77%,5.90%,205.52,629.46,591.71,969.66,300.07,403.52,6.3421,2.32%
2022/1/5 16:30,0.04%,1.22%,1.49%,66.21,58.1,48.2,5.92%,5.80%,210.83,624.41,596.31,908.24,295.89,404.43,6.3457,2.34%
2022/1/5 16:20,0.07%,1.15%,1.39%,67.71,58.99,50.67,5.75%,5.90%,202.95,625.78,587.22,967.3,278.18,392.41,6.3335,2.32%
2022/1/5 16:15,0.06%,1.16%,1.38%,67.37,59.36,50.94,5.80%,5.74%,205.08,608.79,588.41,918.34,286.41,399.77,6.3413,2.34%
2022/1/5 16:10,0.05%,1.27%,1.47%,68.89,57.17,45.31,5.85%,5.85%,210.03,628.19,582.76,898.95,307.52,396.98,6.3516,2.33%
2022/1/5 16:05,0.07%,1.21%,1.45%,67.27,55.12,46.27,5.73%,5.80%,201.16,619.19,603.76,974.06,294.07,409.63,6.3352,2.34%
2022/1/5 16:00,0.07%,1.16%,1.43%,68.37,58.02,48.86,5.94%,5.83%,206.02,621.37,600.51,948.92,304.71,393.48,6.3436,2.33%
2022/1/5 15:55,0.05%,1.17%,1.38%,66.5,58.37,45.2,5.70%,5.85%,215.84,614.05,574.65,909.37,294.8,412.6,6.3538,2.33%
2022/1/5 15:50,0.04%,1.22%,1.43%,66.91,55.97,49.07,5.94%,5.79%,204.55,621.56,585.79,905.29,275.76,396.41,6.3522,2.34%
2022/1/5 15:45,0.06%,1.15%,1.54%,67.06,55.21,48.33,5.80%,5.72%,218.25,613.86,597.47,974.33,297.39,401.82,6.3354,2.32%
2022/1/5 15:40,0.06%,1.35%,1.44%,66.74,58.54,47.09,5.78%,5.79%,215.59,623.12,581.49,956.46,280.32,396.64,6.3384,2.34%
2022/1/5 15:35,0.06%,1.17%,1.39%,66.63,58.84,46.25,5.71%,5.80%,198.46,614.44,599.37,914.87,299.96,396.32,6.3379,2.32%
2022/1/5 15:30,0.06%,1.30%,1.51%,69.25,58.77,50.6,5.82%,5.77%,210.82,611.71,593.98,966.36,304.6,407.68,6.3354,2.33%
2022/1/5 15:25,0.05%,1.17%,1.53%,66.2,56.09,50.16,5.72%,5.94%,210.14,623.89,598.27,935.58,300.46,407.96,6.3531,2.33%
2022/1/5 15:20,0.06%,1.21%,1.39%,67.78,57.64,45.99,5.93%,5.88%,210.32,618.23,576.49,904.67,284.48,402.77,6.3518,2.32%
2022/1/5 15:15,0.05%,1.23%,1.49%,69.84,59.49,46.78,5.83%,5.93%,214.33,617.08,578.93,921.34,299.64,410,6.3398,2.34%
2022/1/5 15:10,0.07%,1.16%,1.40%,67.43,58.82,46.76,5.81%,5.81%,213.19,623.51,588.09,905.5,301.91,394.25,6.3543,2.32%
2022/1/5 15:05,0.06%,1.24%,1.40%,68.98,59.68,50.22,5.86%,5.84%,214.43,625.66,601.99,977.22,281.92,401.78,6.3503,2.32%
2022/1/5 15:00,0.06%,1.29%,1.45%,66.56,57.23,45.14,5.74%,5.87%,219.19,617.35,589.91,914.99,276.17,398.93,6.3429,2.33%
2022/1/5 14:55,0.07%,1.26%,1.38%,66.28,59.59,47.95,5.94%,5.73%,206.88,624.55,576.85,955.46,301.27,402.83,6.3443,2.32%
2022/1/5 14:50,0.06%,1.24%,1.40%,69.52,55.49,47.82,5.74%,5.86%,204.94,608.72,574.93,939.86,284.03,399.42,6.3362,2.33%
2022/1/5 14:45,0.07%,1.20%,1.53%,66.97,55.97,46.45,5.92%,5.80%,210.59,626.13,574.19,912.31,294.76,397.33,6.3514,2.32%
2022/1/5 14:40,0.08%,1.24%,1.55%,66.46,55.86,49.16,5.82%,5.71%,218.8,623.23,591.97,946.64,304.47,405.15,6.3443,2.34%
2022/1/5 14:35,0.07%,1.15%,1.40%,69.03,58.08,49.13,5.75%,5.87%,208.57,626.62,595.36,906.32,301.52,406.12,6.3415,2.34%
2022/1/5 14:30,0.08%,1.24%,1.41%,66.48,55.45,50.89,5.71%,5.73%,214.17,612.73,587,884.51,298.79,406.22,6.3307,2.32%
2022/1/5 14:25,0.08%,1.34%,1.41%,66.66,55.99,48.53,5.88%,5.85%,199.99,628.95,596.75,970.64,306.87,400.32,6.3531,2.33%
2022/1/5 14:20,0.05%,1.27%,1.42%,69.72,58.49,45.09,5.82%,5.74%,211.01,618.78,600.88,949.56,307.85,411.9,6.3354,2.32%
2022/1/5 14:15,0.07%,1.15%,1.44%,69.41,58,45.8,5.88%,5.90%,209.87,615.92,602.03,972.94,287.03,400.86,6.3598,2.34%
2022/1/5 14:10,0.06%,1.18%,1.44%,66.53,58.3,49.71,5.80%,5.74%,208.64,621.25,604.64,934.8,279.95,408.43,6.3329,2.33%
2022/1/5 14:05,0.07%,1.26%,1.38%,67.47,55.26,46.09,5.79%,5.92%,213.11,612.99,576.14,944.45,290.85,412.57,6.351,2.34%
2022/1/5 14:00,0.07%,1.18%,1.53%,68.58,58.79,49.15,5.93%,5.91%,213.3,617.44,582.17,899.52,303.24,396.33,6.3304,2.33%
2022/1/5 13:55,0.05%,1.26%,1.41%,66.26,55.6,50.47,5.76%,5.84%,198.34,627.93,580.51,885.01,275.98,405.39,6.345,2.32%
2022/1/5 13:50,0.08%,1.16%,1.45%,66.21,58.68,49.75,5.85%,5.88%,210.27,621.3,579.4,938.49,277.28,399.12,6.3569,2.33%
2022/1/5 13:45,0.07%,1.17%,1.53%,69.68,56.35,48.02,5.82%,5.70%,207.68,617.16,595.7,944.68,308.19,413.59,6.3481,2.34%
2022/1/5 13:40,0.04%,1.20%,1.49%,66.79,58.94,48.55,5.90%,5.71%,216.43,614.5,608.49,892.45,301.24,393,6.3553,2.34%
2022/1/5 13:35,0.07%,1.20%,1.54%,67.26,57.77,46.58,5.95%,5.73%,202.79,624.59,601.38,911.67,286.98,399.41,6.3406,2.32%
2022/1/5 13:30,0.05%,1.31%,1.41%,66.7,57.68,47.66,5.74%,5.76%,207.41,611.81,604.71,901.9,280.99,396.04,6.3316,2.34%
2022/1/5 13:25,0.06%,1.15%,1.49%,66.87,57.82,48.6,5.86%,5.79%,203.54,627.03,580.87,966.36,278.18,410.95,6.3548,2.34%
2022/1/5 13:20,0.08%,1.29%,1.53%,67.03,55.66,47.49,5.91%,5.88%,206.33,627.62,574.65,889.01,281.5,399.66,6.3311,2.32%
2022/1/5 13:15,0.08%,1.20%,1.45%,67.58,55.55,50.99,5.79%,5.76%,207.9,624.41,572.62,941.77,296.98,408.57,6.3465,2.33%
2022/1/5 13:10,0.08%,1.31%,1.50%,66.29,58.59,46.88,5.86%,5.90%,202.78,625.82,603.34,901.54,290.91,404.92,6.3451,2.33%
2022/1/5 13:05,0.06%,1.21%,1.36%,69.38,55.58,50.79,5.78%,5.93%,201,615.17,604.56,974.32,298.65,411.19,6.3435,2.32%
2022/1/5 13:00,0.07%,1.22%,1.45%,68.77,56.67,49.39,5.93%,5.79%,204.84,624.65,609.88,899.62,296.62,413.14,6.3358,2.33%
2022/1/5 12:55,0.05%,1.23%,1.46%,67.43,56.81,49.72,5.95%,5.95%,214.69,616.99,587.11,904.87,291.13,408.71,6.3475,2.32%
2022/1/5 12:50,0.07%,1.31%,1.46%,67.02,56.22,45.2,5.75%,5.91%,198.71,610.59,580.67,979.42,290.83,397.37,6.3418,2.33%
2022/1/5 12:45,0.05%,1.24%,1.54%,68.81,59.42,49.75,5.88%,5.91%,206.84,609.75,605.58,965.7,294.86,396.39,6.3312,2.34%
2022/1/5 12:40,0.05%,1.32%,1.43%,69.36,59.49,48.06,5.90%,5.71%,206.85,625.79,589.27,899.77,287.84,390.31,6.3548,2.33%
2022/1/5 12:35,0.05%,1.19%,1.53%,69.38,59.53,48.85,5.77%,5.88%,215.65,624.88,583.62,925,285.52,408.72,6.3357,2.32%
2022/1/5 12:30,0.05%,1.27%,1.39%,67.54,55.54,49.06,5.74%,5.94%,205.89,624.23,588.49,944.56,279.44,410.24,6.3426,2.33%
2022/1/5 12:25,0.07%,1.27%,1.50%,66.93,59.33,47.86,5.85%,5.87%,214.85,621.57,575.93,915.81,303.74,394.93,6.3424,2.32%
2022/1/5 12:20,0.04%,1.31%,1.51%,69.59,58.18,48.53,5.95%,5.88%,205.63,618.34,572.75,881.05,282.22,398.9,6.3553,2.33%
2022/1/5 12:15,0.07%,1.15%,1.47%,67.78,59.85,45.95,5.88%,5.79%,216.4,607.47,604.23,961.68,300.18,393.85,6.3462,2.32%
2022/1/5 12:10,0.05%,1.21%,1.46%,69.78,55.53,49.77,5.77%,5.73%,201.6,620.59,575.62,905.97,304.04,400.44,6.3565,2.34%
2022/1/5 12:05,0.06%,1.34%,1.51%,67.23,55.22,45.14,5.70%,5.95%,203.72,613.48,599.2,920.58,309.81,393.91,6.3471,2.32%
2022/1/5 12:00,0.04%,1.31%,1.52%,66.58,56.19,50.26,5.75%,5.71%,202.27,629.96,593.87,896.35,298.24,408.35,6.3445,2.34%
2022/1/5 11:55,0.08%,1.29%,1.49%,68.1,55.83,48.26,5.84%,5.81%,198.21,616.98,578.72,896.19,281.75,405.21,6.3502,2.33%
2022/1/5 11:50,0.07%,1.21%,1.47%,69.56,58.21,48.57,5.92%,5.91%,219.23,610,570.99,977.02,307.35,406.07,6.3352,2.34%
2022/1/5 11:45,0.04%,1.30%,1.43%,69.4,55.01,46.53,5.83%,5.89%,206.33,622.49,599.62,923.04,309.13,405.35,6.3375,2.34%
2022/1/5 11:40,0.05%,1.27%,1.55%,68.59,58.08,49.56,5.72%,5.77%,214.41,622.89,576.57,898.06,278.37,399.38,6.3506,2.33%
2022/1/5 11:35,0.07%,1.32%,1.36%,66.07,58.79,46.65,5.86%,5.74%,200.75,622.47,581.63,979.54,300.19,411.41,6.3552,2.33%
2022/1/5 11:30,0.04%,1.22%,1.47%,69.48,56.09,47.2,5.93%,5.80%,207.62,627.05,583.88,955.87,308.16,413.34,6.3441,2.32%
2022/1/5 11:25,0.04%,1.16%,1.38%,67.74,59.92,47.12,5.85%,5.86%,207.19,626.16,601.53,902.51,283.36,402.31,6.3513,2.34%
2022/1/5 11:20,0.06%,1.23%,1.51%,68.21,55.83,50.96,5.86%,5.84%,208.7,612.48,602.13,956.27,278.24,414.54,6.3545,2.34%
2022/1/5 11:15,0.05%,1.31%,1.37%,70,57.28,45.51,5.88%,5.72%,199.93,620.3,580.26,892.08,276.76,397.98,6.3463,2.33%
2022/1/5 11:10,0.04%,1.19%,1.36%,69.76,55.4,47.49,5.71%,5.88%,202,617.01,589.82,977.09,282.29,412.68,6.352,2.32%
2022/1/5 11:05,0.07%,1.32%,1.46%,68.72,55.2,45.7,5.89%,5.89%,202.88,624.28,576.62,949.22,277.9,401.17,6.3317,2.32%
2022/1/5 11:00,0.07%,1.20%,1.48%,67.91,56.22,47.18,5.74%,5.86%,199.49,607.93,593.09,897.69,294.34,392.89,6.3358,2.32%
2022/1/5 10:55,0.05%,1.17%,1.38%,67.69,55.43,47.35,5.95%,5.79%,215.68,616.24,587.18,894.49,279.68,413.43,6.3557,2.34%
2022/1/5 10:50,0.08%,1.27%,1.39%,69.32,55,45.43,5.90%,5.85%,198.98,607.65,574.09,952.26,309.08,411.36,6.3433,2.34%
2022/1/5 10:45,0.04%,1.34%,1.39%,69.59,58.33,47.91,5.71%,5.95%,209.72,624.27,579.95,909.91,290.9,390.91,6.3536,2.33%
2022/1/5 10:40,0.07%,1.30%,1.50%,69.75,57.96,46.64,5.90%,5.93%,212.68,616.23,587.01,912.53,292.24,406.83,6.3475,2.32%
2022/1/5 10:35,0.05%,1.30%,1.40%,66.94,55.5,45.13,5.93%,5.89%,212.27,610.93,601.66,934.57,309.52,394.27,6.3452,2.33%
2022/1/5 10:30,0.06%,1.27%,1.38%,67.11,58.18,46.98,5.86%,5.72%,205.55,625.07,589.73,940.67,307.22,394.6,6.3378,2.33%
2022/1/5 10:25,0.06%,1.29%,1.45%,67.92,59.15,48.93,5.90%,5.89%,200.78,613.06,594.48,899.9,305.24,393.19,6.3407,2.34%
2022/1/5 10:20,0.07%,1.21%,1.45%,67.94,58.24,46.33,5.91%,5.84%,200.7,611.07,583.16,896.71,309.94,407.04,6.3347,2.34%
2022/1/5 10:15,0.05%,1.30%,1.44%,66.42,55.22,47.08,5.93%,5.84%,215.36,618.09,600.54,907.9,289.2,403.69,6.3341,2.34%
2022/1/5 10:10,0.04%,1.15%,1.52%,68.08,56.34,50.22,5.87%,5.75%,,628.11,574.52,892.41,288.25,413.78,6.345,2.34%